id,name,description,new_price,image,extra_info,category_id,discount_price
1,Classic White Button-Up Shirt,"TOM FORD Slim Fit Solid Cotton Poplin Button-Up Shirt in White at Nordstrom, Size 41 Eu
",29.99,https://i.pinimg.com/564x/5d/b2/b6/5db2b64f0a48a0ccbfed344a7302d3d4.jpg,"The label's knack for elevating everyday essentials is manifested in this classic button-up shirt tailored in a slim fit from crisp cotton poplin. Front button closure Point collar Long sleeves with two-button cuffs 100% cotton Dry clean or machine wash, line dry Made in Italy Designer Clothing",1,
2,Floral Print Short Sleeve Shirt,"Printed Short Sleeved Shirt
",24.99,https://i.pinimg.com/564x/8a/e9/ba/8ae9baa9885d04c64137555d3c6caf24.jpg,Bring the resort to your front doorstep with this printed short-sleeved shirt. It’s made with linen giving it that signature lightweight feel and features a bold floral print that transports us to warm-weather climates. Wear it with tapered linen trousers and leather sandals. - Spread collar - Button-up front - Short sleeves - Printed design - Made with linen - Regular fit MADE WITH TENCEL™ LYOCELL The main material in this product contains a minimum of 50% TENCEL™ branded lyocell fibres high quality cellulose fibres made from wood pulp from sustainably managed forests and produced in a way that reduces environmental impact,1,19.99
3,Casual Chambray Shirt,"CANALI Cotton-blend Chambray Shirt S - Blue
",34.99,https://i.pinimg.com/564x/66/34/ee/6634eea0c568dc5dac3c269a341ccbcf.jpg,Find CANALI Cotton-blend Chambray Shirt S on Editorialist. Chambray's lighter handle makes it a great denim alternative in the warmer months. Canali's shirt is made from a cotton-blend version of the fabric for a comfortable fit.,1,23
4,Slim Fit Dark Wash Jeans,"AG Tellis Slim Fit Jeans - 9 Years Silverado
",49.99,https://i.pinimg.com/564x/3f/30/44/3f304493a8662379b4163bd9237c6e92.jpg,"""Find AG Tellis Slim Fit Jeans on Editorialist. Bleach-baked jeans bring casual cool to denim days with a slim, yet comfortable fit. 14\"" leg opening; 10 1/4\"" front rise; 15\"" back rise Zip fly with button closure Five-pocket style 97% cotton, 3% polyester or 97% cotton, 3% polyurethane Machine wash, tumble dry Imported""",2,
5,High-Waisted Mom Jeans,"MANGO High Waist Ankle Mom Jeans - Dark Vintage Blue
",39.99,https://i.pinimg.com/564x/78/98/6b/78986bac11f563f0f21b14c6f30e2975.jpg,"""Find MANGO High Waist Ankle Mom Jeans on Editorialist. Refresh your wardrobe with nonstretch jeans flaunting a high waist and tapered legs for a retro-inspired silhouette. 27 1/2\"" inseam Zip fly with button closure Five-pocket style 80% cotton, 20% recycled cotton Machine wash, line dry Imported""",2,
6,Skinny Ankle Jeans,"PURPLE - Men's P001 Black Resin Skinny Jeans
",44.99,https://i.pinimg.com/564x/e0/9b/ea/e09bea99e1b322d01adfa76bd8c58d0d.jpg,"PURPLE jeans in coated denim. Approx. measurements: 10.25"" rise, 32"" inseam, 13.5"" leg opening, based on a size 32. Low rise, sits at the hip. Fivepocket style. Slim fit through skinny legs. Ankle length. Button/zip fly; belt loops. Cotton/Lycra® spandex. Machine wash. Imported.",2,
8,Rash Guard Swim Shirt,"KYKU Men's Rash Guard Long Sleeve UPF 50+ UV Lightweight Sun Protection Swim Shirt for Outdoor Fishing Hiking Surf
",34.99,https://i.pinimg.com/564x/2b/d2/00/2bd2008a9102991bcf56f48208eb9e68.jpg,"PRICES MAY VARY. 88% Polyester, 12% Spandex Imported Polyester lining Pull On closure Machine Wash All-Weather UPF50+ Protection: mens spf swim shirt can provide you with comprehensive UVA/UVB protection, shielding you from harmful radiation without the need for applying sunscreen. It can help you reduce the risk of skin cancer and sunburns, keeping you cooler and safer during outdoor activities. Soft and Skin-Friendly Fabric: We use a polyester and spandex blended fabric to provide you with a c",3,
10,Cotton Pajama Set,"Pajamas - Yale Check - Pajamas - Yale Check
",29.99,https://i.pinimg.com/564x/5c/8e/97/5c8e9780f5ac2d7126afc62cb6d7cd32.jpg,"Warm cotton at the top, light “Pilou” at the bottom, the recipe for pajamas for straight-forward nights
- Men's pajamas set
- 100% cotton
- Plain long-sleeved T-shirt, round neck in thick and warm cotton jersey
- Chest screen printing
- Contrasting elbow patches
- “Pilou Pilou” cotton flannel pajama pants
- Elasticated waistband, drawstring and 2 side pockets
- Exclusive pattern created in Paris
- Made in our partner workshops in Morocco",4,
12,Flannel Sleep Pants,"MAJESTIC INTERNATIONAL Plaid Cotton Flannel Pajama Pants - Cherry
",24.99,https://i.pinimg.com/564x/a0/73/2f/a0732f82cc7ff7d0889cce5e45bc962f.jpg,"""Find MAJESTIC INTERNATIONAL Plaid Cotton Flannel Pajama Pants on Editorialist. Cozy flannel pajama pants in classic plaid provide extra comfort for lounging or sleeping when the temps drop. 32\"" inseam; 15 1/2\"" leg opening; 12 1/2\"" front rise 100% cotton Machine wash, tumble dry Imported""",4,
13,Moisture-Wicking Workout T-Shirt,"Under Armour Tech Twist Short Sleeve VNeck TShirt
",29.99,https://i.pinimg.com/564x/f5/7a/b8/f57ab8e6d0716ee9f221025a1d23cbfd.jpg,"Experience the perfect blend of comfort and style with our women's Tech Twist Short Sleeve V-Neck T-Shirt from Under Armour. This versatile piece is a must-have for any active woman's wardrobe.Crafted with our signature Tech fabric, this shirt offers superior moisture-wicking capabilities to keep you cool and dry during even the most intense workouts. The twist effect adds a touch of texture to the plain design, elevating your look without sacrificing functionality. The V-neck cut provides a fla",5,
